활동ID,거래처명,담당영업,활동유형,활동일,활동결과,다음액션
ACT-0062,IBK기업은행,정대한,제품시연,2022-04-05,보류,추가 검토 요청
ACT-0063,롯데마트,최수진,방문미팅,2023-05-03,긍정,계약서 발송 예정
ACT-0064,NH농협은행 인천강남지점,이영희,제품시연,2022-03-30,부정,도입 시기 미정
ACT-0065,하나은행,이영희,제품시연,2022-03-19,긍정,계약서 발송 예정
ACT-0066,GS리테일,최수진,제품시연,2024-06-26,보류,예산 확정 후 재미팅
ACT-0067,한국도로공사,한미래,방문미팅,2024-01-11,부정,타사 제품 유지 결정
ACT-0068,롯데마트,최수진,제안서발송,2024-02-21,보류,추가 검토 요청
ACT-0069,우리은행,한미래,전화상담,2024-04-05,긍정,계약서 발송 예정
ACT-0070,대구은행 서울서부지점,박민준,방문미팅,2022-09-02,긍정,견적서 수정 후 재발송
ACT-0071,서울교통공사 대구강남지점,김철수,제품시연,2022-03-30,보류,추가 검토 요청
ACT-0072,하나은행,정대한,제품시연,2024-02-28,긍정,시범 설치 일정 확정
ACT-0073,서울시설공단 경기북부지점,김철수,전화상담,2022-05-05,긍정,견적서 수정 후 재발송
ACT-0074,우리은행 부산서부지점,정대한,제안서발송,2022-10-16,긍정,계약서 발송 예정
ACT-0075,KB국민은행 서울북부지점,이영희,계약협의,2022-04-17,긍정,계약서 발송 예정
ACT-0076,BGF리테일,박민준,계약협의,2024-07-13,긍정,납품 일정 협의 예정
ACT-0077,경남은행 경기본부,한미래,전화상담,2022-04-16,보류,1개월 후 재연락
ACT-0078,하나은행 부산강북지점,한미래,전화상담,2024-11-14,보류,예산 확정 후 재미팅
ACT-0079,국민건강보험공단 인천중부지점,한미래,제품시연,2023-01-01,부정,타사 제품 유지 결정
ACT-0080,IBK기업은행 대구본부,최수진,전화상담,2023-09-20,긍정,시범 설치 일정 확정
ACT-0081,하나은행 부산강북지점,박민준,제품시연,2022-07-06,긍정,납품 일정 협의 예정
ACT-0082,부산교통공사 인천강북지점,정대한,전화상담,2024-06-03,부정,경쟁사 선정됨
ACT-0083,경남은행 경기본부,박민준,제안서발송,2023-01-18,보류,기술 검토 결과 확인 예정
ACT-0084,신한은행,한미래,계약협의,2024-06-18,긍정,PO 수령 후 착수
ACT-0085,KB국민은행,정대한,제안서발송,2024-07-12,보류,기술 검토 결과 확인 예정
ACT-0086,부산은행 광주강북지점,김철수,계약협의,2022-03-03,긍정,PO 수령 후 착수
ACT-0087,우리은행 부산서부지점,최수진,계약협의,2024-08-20,긍정,견적서 수정 후 재발송
ACT-0088,신한은행 서울본부,최수진,제안서발송,2022-05-08,보류,1개월 후 재연락
ACT-0089,하나은행 경기동부지점,김철수,방문미팅,2023-10-14,긍정,견적서 수정 후 재발송
ACT-0090,하나은행,이영희,방문미팅,2024-10-18,긍정,PO 수령 후 착수
ACT-0091,하나은행,정대한,제품시연,2024-06-25,긍정,PO 수령 후 착수
ACT-0092,IBK기업은행 대구본부,정대한,제안서발송,2024-05-28,보류,1개월 후 재연락
ACT-0093,부산교통공사 인천강북지점,한미래,방문미팅,2024-03-23,긍정,계약서 발송 예정
ACT-0094,GS리테일,한미래,제품시연,2023-05-07,부정,경쟁사 선정됨
ACT-0095,신한은행 대전남부지점,김철수,제안서발송,2023-02-10,긍정,시범 설치 일정 확정
ACT-0096,부산은행 대전동부지점,박민준,방문미팅,2022-11-14,보류,기술 검토 결과 확인 예정
ACT-0097,하나은행,한미래,방문미팅,2024-11-06,긍정,납품 일정 협의 예정
ACT-0098,GS리테일,정대한,방문미팅,2023-05-04,긍정,계약서 발송 예정
ACT-0099,BGF리테일 서울동부지점,최수진,전화상담,2023-01-06,보류,추가 검토 요청
ACT-0100,이마트,정대한,전화상담,2023-02-17,보류,기술 검토 결과 확인 예정
ACT-0101,부산은행 대전동부지점,한미래,방문미팅,2023-09-07,보류,기술 검토 결과 확인 예정
ACT-0102,서울시설공단 부산강남지점,한미래,제품시연,2022-07-23,긍정,계약서 발송 예정
ACT-0103,국민건강보험공단,정대한,제품시연,2024-11-09,긍정,시범 설치 일정 확정
ACT-0104,한국도로공사,정대한,계약협의,2024-09-29,긍정,PO 수령 후 착수
ACT-0105,신한은행 서울본부,정대한,제안서발송,2023-04-12,부정,요구사항 불일치로 종료
ACT-0106,신한은행 대전남부지점,최수진,제안서발송,2023-12-12,긍정,시범 설치 일정 확정
ACT-0107,BGF리테일 서울동부지점,이영희,제품시연,2023-05-07,긍정,시범 설치 일정 확정
ACT-0108,롯데마트,박민준,제품시연,2022-04-23,부정,도입 시기 미정
ACT-0109,신한은행,한미래,방문미팅,2022-01-15,부정,요구사항 불일치로 종료
ACT-0110,GS리테일 대전북부지점,이영희,제안서발송,2023-12-13,보류,1개월 후 재연락
ACT-0111,BGF리테일,이영희,제안서발송,2024-08-22,긍정,계약서 발송 예정
ACT-0112,IBK기업은행 대구본부,박민준,계약협의,2024-05-24,보류,기술 검토 결과 확인 예정
ACT-0113,롯데마트 부산본부,이영희,방문미팅,2022-06-05,보류,1개월 후 재연락
ACT-0114,서울시설공단,이영희,제안서발송,2022-04-24,긍정,납품 일정 협의 예정
ACT-0115,이마트,이영희,제안서발송,2024-04-15,부정,요구사항 불일치로 종료
ACT-0116,NH농협은행 광주북부지점,정대한,전화상담,2022-11-28,긍정,계약서 발송 예정
ACT-0117,한국도로공사 대구강북지점,이영희,제품시연,2024-02-25,보류,기술 검토 결과 확인 예정
ACT-0118,부산은행,정대한,제안서발송,2023-02-16,보류,1개월 후 재연락
ACT-0119,롯데마트 부산본부,최수진,방문미팅,2022-07-25,보류,1개월 후 재연락
ACT-0120,KB국민은행 경기강남지점,박민준,제품시연,2023-06-27,부정,도입 시기 미정
ACT-0121,대구은행,이영희,계약협의,2022-04-17,부정,경쟁사 선정됨
ACT-0122,신한은행 대전남부지점,최수진,방문미팅,2023-01-15,보류,예산 확정 후 재미팅
ACT-0123,신한은행 서울본부,정대한,계약협의,2023-07-29,보류,추가 검토 요청
ACT-0124,IBK기업은행 대구본부,이영희,전화상담,2023-03-19,긍정,계약서 발송 예정
ACT-0125,NH농협은행 광주북부지점,최수진,계약협의,2022-09-03,보류,기술 검토 결과 확인 예정
ACT-0126,BGF리테일,최수진,제안서발송,2023-11-12,보류,내부 승인 대기 중
ACT-0127,KB국민은행 경기강남지점,김철수,제품시연,2024-04-23,긍정,시범 설치 일정 확정
ACT-0128,이마트 경기서부지점,최수진,제안서발송,2024-12-28,보류,1개월 후 재연락
ACT-0129,대구은행 서울서부지점,한미래,전화상담,2023-04-15,긍정,견적서 수정 후 재발송
ACT-0130,우정사업본부,최수진,제품시연,2024-08-08,긍정,시범 설치 일정 확정
ACT-0131,한국철도공사 광주중부지점,한미래,계약협의,2024-10-12,긍정,견적서 수정 후 재발송
ACT-0132,서울교통공사,최수진,제안서발송,2024-04-01,긍정,시범 설치 일정 확정
ACT-0133,하나은행 경기동부지점,최수진,제품시연,2022-01-13,긍정,납품 일정 협의 예정
ACT-0134,신한은행 서울본부,박민준,계약협의,2024-11-03,긍정,계약서 발송 예정
ACT-0135,한국도로공사,박민준,계약협의,2024-05-11,보류,내부 승인 대기 중
ACT-0136,경남은행 경기본부,김철수,전화상담,2023-04-11,보류,추가 검토 요청
ACT-0137,서울시설공단,한미래,방문미팅,2024-10-27,보류,1개월 후 재연락
ACT-0138,이마트,정대한,전화상담,2022-06-10,보류,예산 확정 후 재미팅
ACT-0139,IBK기업은행 대구본부,김철수,제안서발송,2022-07-28,긍정,PO 수령 후 착수
ACT-0140,KB국민은행 경기강남지점,이영희,계약협의,2023-02-15,긍정,견적서 수정 후 재발송
ACT-0141,GS리테일 대전북부지점,박민준,계약협의,2022-06-29,긍정,PO 수령 후 착수
ACT-0142,서울시설공단,한미래,방문미팅,2022-06-16,보류,내부 승인 대기 중
ACT-0143,하나은행 경기동부지점,정대한,방문미팅,2024-05-09,보류,예산 확정 후 재미팅
ACT-0144,부산교통공사,이영희,계약협의,2022-08-30,긍정,납품 일정 협의 예정
ACT-0145,KB국민은행 서울북부지점,김철수,방문미팅,2023-02-28,긍정,PO 수령 후 착수
ACT-0146,하나은행 경기동부지점,한미래,제안서발송,2023-03-14,보류,1개월 후 재연락
ACT-0147,KB국민은행 서울북부지점,최수진,전화상담,2024-07-28,긍정,PO 수령 후 착수
ACT-0148,NH농협은행 인천강남지점,김철수,제안서발송,2022-11-24,보류,내부 승인 대기 중
ACT-0149,BGF리테일 서울동부지점,김철수,전화상담,2023-06-17,부정,예산 없음으로 보류
ACT-0150,서울시설공단 부산강남지점,정대한,방문미팅,2022-11-13,보류,1개월 후 재연락
ACT-0151,GS리테일 대전북부지점,박민준,제안서발송,2024-12-03,긍정,PO 수령 후 착수
ACT-0152,한국도로공사,김철수,제안서발송,2024-09-12,긍정,납품 일정 협의 예정
ACT-0153,한국철도공사,이영희,계약협의,2023-02-15,긍정,납품 일정 협의 예정
ACT-0154,신한은행 대전남부지점,박민준,제품시연,2024-02-25,보류,1개월 후 재연락
ACT-0155,서울교통공사,이영희,전화상담,2024-01-29,부정,요구사항 불일치로 종료
ACT-0156,하나은행 경기동부지점,이영희,방문미팅,2023-01-26,부정,도입 시기 미정
ACT-0157,우리은행 부산서부지점,정대한,전화상담,2022-03-20,보류,내부 승인 대기 중
ACT-0158,서울시설공단,최수진,제안서발송,2022-05-24,긍정,시범 설치 일정 확정
ACT-0159,BGF리테일 서울동부지점,이영희,전화상담,2024-09-12,긍정,견적서 수정 후 재발송
ACT-0160,우리은행 부산서부지점,이영희,전화상담,2023-10-21,보류,예산 확정 후 재미팅
ACT-0161,GS리테일 대전북부지점,이영희,제품시연,2023-03-06,보류,추가 검토 요청
ACT-0162,롯데마트 부산본부,이영희,제안서발송,2022-03-10,보류,1개월 후 재연락
ACT-0163,부산은행 광주강북지점,김철수,전화상담,2022-01-06,보류,예산 확정 후 재미팅
ACT-0164,서울시설공단,한미래,방문미팅,2023-06-03,보류,예산 확정 후 재미팅
ACT-0165,부산은행 대전동부지점,최수진,제안서발송,2022-07-23,부정,도입 시기 미정
ACT-0166,신한은행 대전남부지점,한미래,제안서발송,2024-09-16,보류,추가 검토 요청
ACT-0167,부산은행,이영희,전화상담,2023-02-11,보류,1개월 후 재연락
ACT-0168,한국철도공사 광주중부지점,정대한,제안서발송,2022-09-09,보류,기술 검토 결과 확인 예정
ACT-0169,BGF리테일,정대한,전화상담,2023-11-18,보류,추가 검토 요청
ACT-0170,하나은행 부산강북지점,김철수,제품시연,2024-05-07,보류,추가 검토 요청
ACT-0171,부산교통공사 인천강북지점,최수진,제안서발송,2023-10-27,보류,추가 검토 요청
ACT-0172,국민건강보험공단 인천중부지점,최수진,전화상담,2024-05-21,부정,예산 없음으로 보류
ACT-0173,하나은행,최수진,방문미팅,2022-01-16,긍정,납품 일정 협의 예정
ACT-0174,BGF리테일,한미래,전화상담,2022-06-23,부정,예산 없음으로 보류
ACT-0175,경남은행 경기본부,정대한,제품시연,2022-04-27,긍정,납품 일정 협의 예정
ACT-0176,이마트,최수진,제품시연,2024-12-09,부정,경쟁사 선정됨
ACT-0177,IBK기업은행 인천남부지점,한미래,제안서발송,2022-08-20,보류,내부 승인 대기 중
ACT-0178,대구은행 대전중부지점,정대한,계약협의,2024-04-27,보류,기술 검토 결과 확인 예정
ACT-0179,NH농협은행 인천강남지점,김철수,계약협의,2022-02-25,보류,1개월 후 재연락
ACT-0180,하나은행,이영희,계약협의,2023-07-28,긍정,시범 설치 일정 확정
ACT-0181,대구은행 대전중부지점,김철수,계약협의,2024-06-23,긍정,PO 수령 후 착수
ACT-0182,신한은행 대전남부지점,김철수,전화상담,2024-05-08,보류,예산 확정 후 재미팅
ACT-0183,한국철도공사,박민준,제품시연,2022-08-19,긍정,견적서 수정 후 재발송
ACT-0184,한국철도공사 광주중부지점,김철수,계약협의,2023-10-30,긍정,견적서 수정 후 재발송
ACT-0185,KB국민은행 서울북부지점,최수진,방문미팅,2022-07-17,긍정,시범 설치 일정 확정
ACT-0186,서울시설공단 경기북부지점,정대한,계약협의,2022-03-06,긍정,견적서 수정 후 재발송
ACT-0187,신한은행 서울본부,최수진,방문미팅,2023-04-24,긍정,견적서 수정 후 재발송
ACT-0188,NH농협은행 인천강남지점,이영희,제품시연,2023-07-21,긍정,계약서 발송 예정
ACT-0189,IBK기업은행 대구본부,한미래,전화상담,2022-03-03,긍정,계약서 발송 예정
ACT-0190,NH농협은행 인천강남지점,최수진,제안서발송,2023-07-10,긍정,계약서 발송 예정
ACT-0191,IBK기업은행 인천남부지점,한미래,계약협의,2022-11-23,보류,기술 검토 결과 확인 예정
ACT-0192,IBK기업은행 인천남부지점,정대한,제품시연,2024-11-25,부정,경쟁사 선정됨
ACT-0193,KB국민은행 경기강남지점,정대한,전화상담,2023-01-23,보류,추가 검토 요청
ACT-0194,국민건강보험공단,한미래,방문미팅,2024-11-02,부정,도입 시기 미정
ACT-0195,부산은행 광주강북지점,최수진,제안서발송,2022-06-09,긍정,견적서 수정 후 재발송
ACT-0196,경남은행,이영희,방문미팅,2023-07-04,긍정,시범 설치 일정 확정
ACT-0197,신한은행,최수진,제품시연,2024-05-19,보류,내부 승인 대기 중
ACT-0198,신한은행,정대한,제품시연,2023-09-24,보류,추가 검토 요청
ACT-0199,하나은행 경기동부지점,최수진,제품시연,2024-08-22,긍정,PO 수령 후 착수
ACT-0200,부산교통공사 인천강북지점,정대한,방문미팅,2022-08-29,긍정,견적서 수정 후 재발송
ACT-0201,서울교통공사,정대한,계약협의,2023-01-03,부정,예산 없음으로 보류
ACT-0202,서울시설공단,김철수,제안서발송,2022-09-10,긍정,계약서 발송 예정
ACT-0203,하나은행,한미래,계약협의,2022-10-03,긍정,시범 설치 일정 확정
ACT-0204,NH농협은행,김철수,방문미팅,2023-10-03,긍정,PO 수령 후 착수
ACT-0205,한국도로공사,한미래,제안서발송,2022-02-08,부정,타사 제품 유지 결정
ACT-0206,IBK기업은행 대구본부,정대한,계약협의,2022-10-06,보류,기술 검토 결과 확인 예정
ACT-0207,서울시설공단 부산강남지점,한미래,계약협의,2023-06-01,긍정,납품 일정 협의 예정
ACT-0208,NH농협은행,박민준,제안서발송,2023-10-02,부정,요구사항 불일치로 종료
ACT-0209,IBK기업은행,최수진,계약협의,2024-11-06,부정,경쟁사 선정됨
ACT-0210,경남은행,김철수,제안서발송,2023-01-21,긍정,납품 일정 협의 예정
ACT-0211,GS리테일 대전북부지점,이영희,전화상담,2023-02-19,보류,기술 검토 결과 확인 예정
ACT-0212,롯데마트 부산본부,한미래,계약협의,2022-09-05,긍정,계약서 발송 예정
ACT-0213,IBK기업은행 대구본부,정대한,제안서발송,2024-12-25,긍정,PO 수령 후 착수
ACT-0214,신한은행 서울본부,박민준,계약협의,2022-06-17,보류,기술 검토 결과 확인 예정
ACT-0215,하나은행 부산강북지점,이영희,계약협의,2023-08-18,부정,타사 제품 유지 결정
ACT-0216,부산은행 광주강북지점,한미래,제품시연,2022-03-02,긍정,PO 수령 후 착수
ACT-0217,한국철도공사 광주중부지점,이영희,제안서발송,2024-01-02,보류,추가 검토 요청
ACT-0218,KB국민은행,최수진,방문미팅,2022-12-12,긍정,견적서 수정 후 재발송
ACT-0219,부산은행 대전동부지점,최수진,방문미팅,2022-11-07,보류,예산 확정 후 재미팅
ACT-0220,신한은행 대전남부지점,이영희,방문미팅,2023-12-17,긍정,견적서 수정 후 재발송
ACT-0221,롯데마트,김철수,제안서발송,2023-06-28,보류,예산 확정 후 재미팅
ACT-0222,신한은행 서울본부,김철수,방문미팅,2023-04-20,보류,예산 확정 후 재미팅
ACT-0223,부산은행 광주강북지점,정대한,계약협의,2022-12-20,긍정,계약서 발송 예정
ACT-0224,우정사업본부,박민준,제안서발송,2022-12-13,보류,내부 승인 대기 중
ACT-0225,하나은행,한미래,전화상담,2022-02-06,부정,도입 시기 미정
ACT-0226,서울시설공단 부산강남지점,정대한,제안서발송,2024-10-22,긍정,PO 수령 후 착수
ACT-0227,부산은행 대전동부지점,한미래,방문미팅,2022-10-28,보류,기술 검토 결과 확인 예정
ACT-0228,부산은행 광주강북지점,한미래,제안서발송,2023-09-11,긍정,시범 설치 일정 확정
ACT-0229,GS리테일,정대한,제안서발송,2023-05-25,보류,예산 확정 후 재미팅
ACT-0230,서울시설공단,박민준,방문미팅,2023-03-09,긍정,납품 일정 협의 예정
ACT-0231,신한은행 대전남부지점,정대한,전화상담,2022-04-18,부정,타사 제품 유지 결정
ACT-0232,국민건강보험공단,정대한,방문미팅,2023-03-10,보류,예산 확정 후 재미팅
ACT-0233,신한은행 서울본부,한미래,방문미팅,2023-06-30,보류,예산 확정 후 재미팅
ACT-0234,국민건강보험공단 인천중부지점,이영희,제안서발송,2024-09-23,긍정,PO 수령 후 착수
ACT-0235,한국철도공사,이영희,계약협의,2024-03-02,보류,예산 확정 후 재미팅
ACT-0236,우리은행 대구중부지점,김철수,전화상담,2023-09-13,긍정,계약서 발송 예정
ACT-0237,KB국민은행,최수진,계약협의,2024-11-21,긍정,견적서 수정 후 재발송
ACT-0238,한국도로공사 대구강북지점,한미래,계약협의,2024-04-12,긍정,납품 일정 협의 예정
ACT-0239,서울시설공단,김철수,계약협의,2023-05-30,보류,추가 검토 요청
ACT-0240,하나은행,최수진,제품시연,2022-02-12,긍정,시범 설치 일정 확정
ACT-0241,한국철도공사,김철수,계약협의,2022-06-29,긍정,계약서 발송 예정
ACT-0242,하나은행,김철수,계약협의,2023-02-10,긍정,납품 일정 협의 예정
ACT-0243,경남은행 서울남부지점,박민준,전화상담,2022-10-05,긍정,납품 일정 협의 예정
ACT-0244,부산교통공사,박민준,계약협의,2024-06-20,긍정,납품 일정 협의 예정
ACT-0245,하나은행 경기동부지점,김철수,제안서발송,2023-02-17,보류,추가 검토 요청
ACT-0246,대구은행,김철수,계약협의,2022-03-01,긍정,시범 설치 일정 확정
ACT-0247,GS리테일,정대한,제안서발송,2022-06-18,보류,기술 검토 결과 확인 예정
ACT-0248,서울시설공단,한미래,제안서발송,2024-07-15,긍정,시범 설치 일정 확정
ACT-0249,IBK기업은행,박민준,계약협의,2023-11-07,긍정,납품 일정 협의 예정
ACT-0250,우리은행,이영희,방문미팅,2023-06-22,보류,내부 승인 대기 중
ACT-0251,우리은행,김철수,제품시연,2023-05-03,부정,경쟁사 선정됨
ACT-0252,NH농협은행 광주북부지점,이영희,계약협의,2023-11-09,긍정,시범 설치 일정 확정
ACT-0253,IBK기업은행 대구본부,한미래,제품시연,2024-07-30,보류,기술 검토 결과 확인 예정
ACT-0254,KB국민은행 경기강남지점,이영희,계약협의,2024-03-05,긍정,계약서 발송 예정
ACT-0255,경남은행 서울남부지점,최수진,계약협의,2022-06-29,부정,예산 없음으로 보류
ACT-0256,IBK기업은행 대구본부,최수진,방문미팅,2023-08-22,긍정,PO 수령 후 착수
ACT-0257,KB국민은행 서울북부지점,한미래,제품시연,2024-06-14,긍정,PO 수령 후 착수
ACT-0258,BGF리테일,이영희,계약협의,2022-10-23,긍정,납품 일정 협의 예정
ACT-0259,NH농협은행 광주북부지점,이영희,제안서발송,2023-01-31,부정,요구사항 불일치로 종료
ACT-0260,KB국민은행,김철수,제품시연,2022-03-10,긍정,계약서 발송 예정
ACT-0261,서울시설공단 부산강남지점,이영희,제안서발송,2023-11-09,긍정,납품 일정 협의 예정
ACT-0262,경남은행,정대한,방문미팅,2022-01-03,보류,내부 승인 대기 중
ACT-0263,부산은행,박민준,계약협의,2024-03-18,보류,1개월 후 재연락
ACT-0264,BGF리테일 서울동부지점,최수진,제품시연,2024-04-16,보류,기술 검토 결과 확인 예정
ACT-0265,한국철도공사 광주중부지점,이영희,계약협의,2024-12-02,긍정,견적서 수정 후 재발송
ACT-0266,IBK기업은행 인천남부지점,김철수,제안서발송,2024-11-07,부정,예산 없음으로 보류
ACT-0267,서울교통공사 대구강남지점,최수진,제품시연,2022-11-03,보류,기술 검토 결과 확인 예정
ACT-0268,BGF리테일 서울동부지점,한미래,전화상담,2023-07-20,보류,추가 검토 요청
ACT-0269,IBK기업은행,한미래,계약협의,2023-11-01,보류,내부 승인 대기 중
ACT-0270,부산교통공사 인천강북지점,최수진,제안서발송,2022-04-19,긍정,시범 설치 일정 확정
ACT-0271,경남은행 경기본부,이영희,제안서발송,2024-10-28,긍정,PO 수령 후 착수
ACT-0272,부산은행,한미래,계약협의,2023-05-28,긍정,PO 수령 후 착수
ACT-0273,KB국민은행 서울북부지점,한미래,방문미팅,2024-08-26,긍정,계약서 발송 예정
ACT-0274,경남은행,정대한,방문미팅,2023-05-03,긍정,견적서 수정 후 재발송
ACT-0275,경남은행 경기본부,정대한,제안서발송,2024-10-27,보류,내부 승인 대기 중
ACT-0276,경남은행 경기본부,이영희,전화상담,2022-07-13,보류,예산 확정 후 재미팅
ACT-0277,우리은행 부산서부지점,박민준,제품시연,2023-04-12,긍정,납품 일정 협의 예정
ACT-0278,서울교통공사 대구강남지점,김철수,계약협의,2024-02-27,부정,타사 제품 유지 결정
ACT-0279,경남은행,박민준,방문미팅,2023-04-26,긍정,납품 일정 협의 예정
ACT-0280,우리은행,김철수,계약협의,2024-11-01,부정,요구사항 불일치로 종료
ACT-0281,부산교통공사,김철수,전화상담,2023-09-27,긍정,PO 수령 후 착수
ACT-0282,NH농협은행 광주북부지점,한미래,제안서발송,2023-05-22,보류,내부 승인 대기 중
ACT-0283,대구은행 서울서부지점,정대한,전화상담,2023-09-18,긍정,견적서 수정 후 재발송
ACT-0284,우정사업본부,정대한,제품시연,2024-12-19,긍정,납품 일정 협의 예정
ACT-0285,서울시설공단,박민준,전화상담,2023-04-05,보류,추가 검토 요청
